x0 x0
x1 x1
x2 x2
x3 x3
x4 x4
x5 x5
x6 x6
x7 x7
x8 x8
x9 x9
x10 x10
x11 x11
x12 x12
x13 x13
x14 x14
x15 x15
x16 x16
x17 x17
x18 x18
x19 x19
x20 x20
x21 x21
x22 x22
x23 x23
x24 x24
x25 x25
x26 x26
x27 x27
x28 x28
x29 x29
x30 x30
x31 x31
ra x1
sp x2
gp x3
tp x4
t0 x5
t1 x6
t2 x7
s0 x8
fp x8
s1 x9
a0 x10
a1 x11
a2 x12
a3 x13
a4 x14
a5 x15
a6 x16
a7 x17
s2 x18
s3 x19
s4 x20
s5 x21
s6 x22
s7 x23
s8 x24
s9 x25
s10 x26
s11 x27
t3 x28
t4 x29
t5 x30
t6 x31
[0] x0
[1] x1
[2] x2
[3] x3
[4] x4
[5] x5
[6] x6
[7] x7
[8] x8
[9] x9
[10] x10
[11] x11
[12] x12
[13] x13
[14] x14
[15] x15
[16] x16
[17] x17
[18] x18
[19] x19
[20] x20
[21] x21
[22] x22
[23] x23
[24] x24
[25] x25
[26] x26
[27] x27
[28] x28
[29] x29
[30] x30
[31] x31
